,smiles,targets
217,CC(N(C)c1ccc2c(c1)c(O)nc1nnc(C3CCCC3)n21)=O,0.0
218,CC(C)n1c(-c2c(CO)cncn2)c(F)cn1,0.0
219,CCC(c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCO3)nc1)O,0.0
220,COc1cc2c(cc1Cl)NCC(C(N1CCC(C#N)(C(c3ccc(F)cc3)(F)F)CC1)=O)O2,0.0
221,CC(Cc1ccc(OC)cc1)[N+](=CC(c1cccc(Br)c1)=O)[O-],0.0
222,CC(C)(C)[Si](C)(C)OCC/C=C/C(=NC)O,0.0
223,COC1(OC)CCOCC1I,1.0
224,CC1(C)C(=O)N(C)C(=NOC(N(C)SC(C)(CCl)CCl)=O)S1,1.0
225,CC(=O)OCC(C)(C)C(=Nc1ccc(I)cn1)S,0.0
226,Cc1ccc(Cl)c(Nc2ccccc2C(=N)O)c1Cl,0.0
227,CC(C)(C)NC(c1ccc(Cl)c[n+]1[O-])=O,1.0
228,CNCCc1ccc(-c2ncn(-c3ccc(OC(F)(F)F)cc3)n2)cc1,0.0
229,Cc1c(-c2nc3c(s2)C(=O)N(C)CC3)cccc1Cl,1.0
230,c1ccc(-n2cc(Cc3nc(-c4ccc(Cl)cc4)c4c(=O)nc[nH]n34)nn2)c(F)c1,0.0
231,COC(COc1cc(OCc2ccccc2)cc(O)c1C(C=CC1C=CC=CC1)=O)=O,1.0
232,CCN(C1CCCCC1)C(CCc1ccc(F)cc1)=O,1.0
233,Cc1ccnc(Nc2nc(-c3cn(Cc4ccc(OC)cc4)nc3C3=CCNC3)cs2)n1,0.0
234,CCc1c(CCC(=O)O)c(-c2ccc(Cl)cc2)no1,1.0
235,CC(=O)OON=C1CC(c2ccc(Cl)c(OC)c2F)NC(C(=O)OC)C1(Cl)Cl,1.0
236,c1cc2c(F)ccc(Br)c2nc1,1.0
237,CCc1ccc(Nc2c(-c3nnc(O)o3)ccc(F)c2F)c(F)c1,1.0
238,c1ccc2c(c1)CCC2n1cccc(C(N=c2cc[nH]cc2)=O)c1=O,1.0
239,CN(CC(OC)OC)c1nc2ccc(F)nc2[nH]1,1.0
240,CCCCCCCC1C(C=C(CC(=O)OC)C(=O)OC)O1,1.0
241,c1cc2c(cc1-c1ccc(CO)o1)[nH][nH]c2=N,1.0
242,c1ccnc(CN2c3ccc(C(=N)O)cc3C3(COc4cc5c(cc43)OCCO5)C2=O)c1,0.0
243,c1cc(C(F)(F)F)ccc1-c1cc(C(F)(F)F)n(N)c(=O)c1,0.0
244,CN1CCN(c2cccc(Cn3cc(C(=N)NO)ccc3=O)c2)CC1,1.0
245,c1ccc(Sc2cc(N)ccc2C#N)cc1,1.0
246,CC(C)[C@@H](C(N(Cc1ccccc1)C([C@@H]1CCCN1CC(C12CC3CC(CC(C3)C1)C2)=O)=O)=O)N,1.0
247,CC1(C)C(C)(C)OB(c2cn(C(C3CC3)C3CC3)c(=O)c3ccccc32)O1,1.0
248,c1cc(C#N)c2c(c1)C(=O)C(n1ccnc1C(N)=O)C2,1.0
249,C(CCn1cncn1)Cc1ccc(OCc2coc(/C=C/c3ccc(C(F)(F)F)cc3F)n2)nn1,1.0
250,c1cc(N)c(F)c2ccc(Br)cc12,1.0
251,CC1(C)c2cc(-c3cc(C#N)cc(F)c3)cc(Br)c2N=C(O)O1,0.0
252,CC1=CCSc2c(C)cc(Br)c(C)c21,0.0
253,Cc1ccc(NS(c2cc3c(cc2-c2ccccc2)NC(=O)CO3)(=O)=O)cc1C,1.0
254,COc1cccc2c1c1cc(CO)nn1c(O)n2,1.0
255,C1CCc2c(ccc(I)n2)C1,1.0
256,Cc1ccc(N/C=C(/C=O)[N+]([O-])=O)c(Br)c1,0.0
257,C1CCN(C2(c3ccco3)CCSCC2)CC1,1.0
258,CC(c1ccc(Cn2ccc(=NC(/C=C/c3cccc(C(F)(F)F)c3)=O)[nH]2)o1)(F)F,0.0
259,CC(c1ccc2c(c1)sc(=O)n2COC)c1ccn(-c2ccc(N(C)CCO)cn2)n1,0.0
260,CC(C(c1ccc2c(c1)CCC(=O)N2CCOCc1ccccc1)=O)=NO,1.0
261,Cc1cc(N2CCC(OCC3(C)CC3(F)F)CC2)nc(C#N)c1C(=O)OC,1.0
262,COC(c1cc2c(n(C3CCCCC3)c(-c3ccc(O)cc3)n2)s1)=O,0.0
263,CC(C1CCc2c3cc(Br)ccc3[nH]c2C1)(C(=O)OC)S(C)(=O)=O,0.0
264,CCOC(c1c(Cc2ccc(C(O)=O)cc2)c(C)n(-c2ccc(C#N)c(Cl)c2)n1)=O,0.0
265,Cc1ccc(-c2nc(N3CC[C@H](N)C3)on2)cc1,0.0
266,c1cc(Oc2cc(O)cc(O)c2-c2cc(C(=NCCF)O)no2)ccc1[N+]([O-])=O,1.0
267,CCC(=O)OC(CC)OC(=NC[C@H]1CC[C@H](C(=O)O)CC1)O,0.0
268,Cc1ccc(O)c(-c2c(F)c(F)c(F)c(F)c2F)c1,1.0
269,CC=COC(C(C(=O)O)(N)S(C(C)(C)C)(=O)=O)=O,1.0
270,COc1ccccc1C(=NCc1ccc(-c2c(C(=N)O)c(N)n(C3CCCC3)n2)cn1)O,0.0
271,c1ccc(COC([C@@H]2CC[C@@H]3CN2C(=O)N3OCc2ccccc2)=O)cc1,1.0
272,CN1CCNC(Cc2ccc(CC(=O)OC)cc2)C1,1.0
273,C[C@@H](C(=O)O)OCCOCCOCC(=O)OC(C)(C)C,0.0
274,COC(CN(CCc1ccc(O)c2c1ccc(O)n2)C(=O)OCc1ccccc1)OC,1.0
275,c1cc2c3ccc(Br)cc3oc2cc1C#N,0.0
276,Cn1cc2c(cc1=O)CCC(N=[N+]=[N-])C(=O)N2C,0.0
277,CC1CCc2c(cc(-c3ccccc3)n2-c2ccc(O)c(C(=O)O)c2)C1,1.0
278,CCSCCNCc1ccccc1P(c1ccccc1)c1ccccc1,1.0
279,c1cc(F)ccc1C1(c2cc(O)c(O)nn2)CC1,1.0
280,c1cc2c(nc1)n(-c1ccc(C(C(=O)O)=O)cc1)cn2,1.0
281,CCOC(=C)c1c(OC)c(=NC2CCC(F)(F)CC2)nc(-c2nc(C)cs2)[nH]1,0.0
282,COc1cc(OC)nc(N=C(NS(c2c(C(=O)OC)ccc(OCC(F)(F)F)n2)(=O)=O)O)n1,1.0
