,Unnamed: 0,smiles,targets
407,407,C(Cc1c[nH]c2cc(F)ccc12)CNC1Cc2c(C(=N)O)ccc(F)c2OC1,0.0
410,410,Cc1cnc(C(=Nc2c[nH]c3c2c(F)c(Br)cn3)O)cn1,0.0
411,411,CNc1cc(Cl)ncc1C(=O)OC,0.0
415,415,CC(C)n1c2ccccc2cc1C1CCCN(C(c2cc(=NC)[nH]nc2)=O)C1,0.0
417,417,Cc1c(C(F)(F)F)nc2c(C(=NC)O)cc(C=O)nn12,0.0
419,419,COc1cccc(C(=Nc2c[nH]c3c2c(F)c(Br)cn3)O)c1,0.0
421,421,CCCCCn1c(N)c(N)c(O)nc1=O,0.0
422,422,CCN1Cc2ccc(N=C(C(F)(F)F)O)cc2-c2ccccc21,0.0
423,423,C[C@@H](c1ccc(F)cc1)Nc1cc(Cl)cc(Cl)n1,0.0
424,424,c1ccc2c(c1)CC(NCC(CN=C(c1ccnc(OC3CCNCC3)c1)O)O)C2,0.0
425,425,c1ccc(OCc2cc(-c3ccnc(CN)c3)c3ccoc3c2)c(CC(=O)O)c1,0.0
427,427,C#CC1(O)C(O[Si](C)(C)C(C)(C)C)CN(C)C1=O,0.0
429,429,CNC(c1c2ccc(N(C)S(C)(=O)=O)cc2oc1-c1ccc(F)cc1)=O,0.0
430,430,CC1(C)CCC2(CC1)C1C(c3cccnc3O2)O1,0.0
433,433,CC(C)(c1ccc(C(C2CC2)=O)cc1)C(N(C)OC)=O,0.0
434,434,C1C[C@H](N=C(c2cc(C(F)(F)F)ccc2Cl)O)CC[C@H]1C=O,0.0
436,436,C=Cc1cc2c(Br)ccc(C(=N)O)c2[nH]1,0.0
437,437,CCOC(C1CCc2ccc(S(C)(=O)=O)cc2O1)=O,0.0
441,441,C(CN=C(c1cc([N+]([O-])=O)cc([N+]([O-])=O)c1N(CCO)CCO)O)CN1CCOCC1,0.0
443,443,Cc1cc(OC)cc(C)c1S(N1CCCCC1CCCBr)(=O)=O,0.0
445,445,CN1Cc2cc(F)ccc2OC(CO)CN=C(O)c2cnn3ccc1nc23,0.0
447,447,Cc1cccc(C)c1COc1cc(CC#N)ccc1F,0.0
448,448,CCCCC(C=C)CCCCCOC(C)=O,0.0
450,450,CCc1c(O)c(=O)c(C(C(F)(F)F)N2CCCCC2)c[nH]1,0.0
451,451,COc1ccc(CN=[N+]=[N-])cc1OC(F)(F)F,0.0
452,452,c1c(C(=N)O)cc(Cl)c(C#N)c1Cl,0.0
454,454,c1cc2c(cc1N)c(F)c(C#N)c(F)n2,0.0
459,459,CCNc1c(NS(c2ccc(OC)cc2)(=O)=O)cc(B2OC(C)(C)C(C)(C)O2)cn1,0.0
461,461,CC(C)(C)OC(N1CCC(C(c2ccccc2Br)=O)CC1)=O,0.0
462,462,C1CCC(NC(c2ccc(-c3cc(-c4cc5c(O)[nH]cnc-5n4)ccn3)cc2)=O)C1,0.0
464,464,c1cc(F)c2c(c1C(=N)O)CC([N+]([O-])=O)=CO2,0.0
466,466,CC1CCC(C2=NC(=O)C3(CCN(S(/C=C/c4c(C)cc(NC)cc4OC)(=O)=O)CC3)N2)CC1,0.0
467,467,C#CCC(C(C)(C)COc1ccc(OC)cc1)O,0.0
471,471,CC(C)(C)OC(N1CCCC(C)(N)C1)=O,0.0
472,472,COc1c2c(-c3ccccc3)c(-c3ccc(C4(N)CCC4)cc3)oc2nc(OC)n1,0.0
478,478,CS(=O)(=O)Oc1ccc2c(c1)OCCN2,0.0
480,480,CC(C)(C)OC(=NC(CNC)C1c2ccccc2CCc2ccccc21)O,0.0
482,482,c1ccc(C(CCO)(CN=CO)c2ccccc2)cc1,0.0
484,484,c1cc(I)c(OCC(F)(F)F)cc1CC(=O)O,0.0
485,485,CCS(CCc1c2ccc(Cl)cc2[nH]c1CN1c2c(cccn2)C2(CC2)C1=O)(=O)=O,0.0
486,486,CN=C(c1cc(C#N)cc(Cl)c1N=C(c1cc(Cl)nn1-c1c(Cl)cccn1)O)O,0.0
489,489,CC(C)(CO)c1c(F)c(N2C(=O)c3ccccc3C2=O)nn1C,0.0
490,490,C1CC(c2c3c4ccnc-4[nH]cc3[nH]n2)CN(S(C2CC2)(=O)=O)C1,0.0
491,491,Cc1cc(C2CC2)cnc1N1CCN(C(c2ccc(Br)cc2C#N)=O)CC1,0.0
492,492,CC(C)(c1cc(-c2nc(=NCc3ccccc3)c3c(-c4ccccc4)ccn3[nH]2)cnc1)O,0.0
499,499,c1cc(-c2ncn(-c3ccc(OC(F)(F)F)cc3)n2)ccc1/C=C/C(N=[N+]=[N-])=O,0.0
500,500,CCOc1c2ccsc2ccc1C(=O)O,0.0
501,501,c1cc(F)c([C@]23CO[C@H](C(F)(F)F)[C@H]2CSC(=N)N3)cc1N,0.0
503,503,Cc1cc(N2C(c3ccc(Cl)cc3)c3c(c(C)cn3C3CN(C)C3)C2=O)cn2c(C)nnc12,0.0
505,505,c1cc(C(Cn2c(=O)cc(OCc3ccc(Cl)cn3)cn2)=O)ccc1CBr,0.0
509,509,CC1(C)C(C)(C)OB(c2ccccc2COCCC2CCN(CC(F)(F)F)CC2)O1,0.0
510,510,CC(C)(c1cc([N+]([O-])=O)ccc1OCc1ccccc1)N,0.0
514,514,CC(C)[C@@H](C(=O)O)N1Cc2ccc(-c3ccc(NS(C(C)C)(=O)=O)cc3)cc2C1=O,0.0
520,520,Cc1c(C(N2CCC3(CC2)c2ccccc2CO3)=O)c2ccc(Cl)cc2[nH]1,0.0
525,525,c1ccc([C@@H]2C[C@H]2C(=Nc2c[nH]c3c2c(F)c(Br)cn3)O)cc1,0.0
533,533,Cc1cc(CSCCNC(=C[N+]([O-])=O)NCC(c2cccc(OC)c2)O)sc1CN(C)C,0.0
537,537,Cn1c(=O)ccc2c1c(CC(=O)OC)c(Cl)cn2,0.0
538,538,c1cc(Cl)c(F)cc1CCC1c2c(I)nc(C3CC3)n2CCN1,0.0
